the_geom,PMAID,GIS_AREA,GIS_LENGTH,GIS_EDT_DT,SPORTCOURT,NAME,SPORT_TYPE,COURT_ID,FACILITY_I,FACILITY_N,COURT_SIZE,RESERVED_1,RESERVED_2,RESERVED_3,LOCATION_I,SHAPE_AREA,SHAPE_LEN
"MULTIPOLYGON (((-122.35340465983788 47.636373918096744, -122.35342084729658 47.636373961045145, -122.35343093351096 47.636373498447014, -122.35344098710056 47.63637421549913, -122.3534507083089 47.63637609082195, -122.35345980728975 47.636379068501085, -122.35346801274898 47.6363830597545, -122.35347508003342 47.63638794557945, -122.35348079842545 47.636393580300776, -122.35348499742562 47.63639979591427, -122.35348755183641 47.636406407095805, -122.35348838549515 47.63641321672701, -122.35348747354482 47.636420021772416, -122.35348484317541 47.636426619333264, -122.35348057281321 47.63643281269708, -122.35347478978264 47.63643841720276, -122.35346766650983 47.63644326574658, -122.3534594153818 47.63644721376446, -122.35345028241379 47.6364501435424, -122.35344053991416 47.636451967726174, -122.35343047836508 47.63645263192589, -122.35342039776171 47.636452116337836, -122.35340420894812 47.63645207340717, -122.35340465983788 47.636373918096744)))",329,506.3825886,86.40105807,04/01/2015 12:00:00 AM +0000,0,,Basketball,,,,Half,,,,,0,0
"MULTIPOLYGON (((-122.28771818543574 47.726103520959654, -122.28772115228972 47.72604665669303, -122.28786575091902 47.726050091342245, -122.28786278422318 47.72610695561266, -122.28786027316274 47.72615509880802, -122.28771567426655 47.726151665051155, -122.28771818543574 47.726103520959654)))",4167,1364.84978922,147.87534015,06/10/2015 12:00:00 AM +0000,0,,Basketball,,,,Half,,,,,0,0
"MULTIPOLYGON (((-122.25749627586283 47.681678790723254, -122.25775279564621 47.681675479927755, -122.25775983766212 47.681812438893516, -122.25770662477902 47.681813125682496, -122.25764498386248 47.68181392139514, -122.25759408805506 47.68181457826863, -122.25752854803389 47.68181542355461, -122.25750300159774 47.681815753649474, -122.25749751473869 47.681704016807196, -122.25749627586283 47.681678790723254)))",398,3160.80015801,226.45210436,04/01/2015 12:00:00 AM +0000,0,,Basketball,,,,Full,,,,,0,0
"MULTIPOLYGON (((-122.30315141001708 47.59145211043234, -122.30319857771491 47.591305743899035, -122.3035276101139 47.59135426668694, -122.30348044329719 47.59150063335661, -122.30315141001708 47.59145211043234)))",397S,4540.75810526,275.48224741,04/01/2015 12:00:00 AM +0000,0,,Basketball,,,,Full,,,,,0,0
"MULTIPOLYGON (((-122.28293561137608 47.54722653952174, -122.28316062531566 47.547223290531846, -122.28316451766295 47.54746743119539, -122.28293948060931 47.54746907559264, -122.28293561137608 47.54722653952174)))",402,4933.64950203,288.69578061,04/01/2015 12:00:00 AM +0000,0,,Basketball,,,,Full,,,,,0,0
"MULTIPOLYGON (((-122.39745089902358 47.677638101898104, -122.39745091471352 47.67762959486709, -122.39745151073524 47.6776202782325, -122.39745443471435 47.6776111643895, -122.39745960215467 47.677602516703175, -122.39746686373033 47.67759458506782, -122.39747600960104 47.67758759868571, -122.39748677547585 47.677581759443875, -122.39749885025061 47.677577236080054, -122.39751188499784 47.67757415930683, -122.39752550304983 47.67757261803426, -122.39753931088318 47.67757265680082, -122.39755290949026 47.67757427448626, -122.39756590590959 47.677577424344, -122.39757792458101 47.67758201535203, -122.39758861819828 47.67758791484306, -122.39759767774522 47.67759495233829, -122.39760484142542 47.67760292447365, -122.39760990222747 47.67761160087657, -122.39761271390707 47.67762073082287, -122.39761319521313 47.67763005048216, -122.39761308243698 47.677638738770725, -122.39745089902358 47.677638101898104)))",3894,791.18230589,110.93434066,04/01/2015 12:00:00 AM +0000,0,,Basketball,,,,Half,,,,,0,0
"MULTIPOLYGON (((-122.32375103906858 47.71031890495611, -122.32359920378586 47.710204574807904, -122.32377751222892 47.71009670250493, -122.32392934758884 47.71021103241633, -122.32375103906858 47.71031890495611)))",4456,3301.61089255,229.91370256,04/01/2015 12:00:00 AM +0000,0,,Basketball,,,,Half,,,,,0,0
"MULTIPOLYGON (((-122.30315141001708 47.59145211043234, -122.30348044329719 47.59150063335661, -122.30343338993946 47.59164664769192, -122.30310435578039 47.591598124631716, -122.30315141001708 47.59145211043234)))",397S,4529.82736501,275.21916713,04/01/2015 12:00:00 AM +0000,0,,Basketball,,,,Full,,,,,0,0
"MULTIPOLYGON (((-122.30173780189477 47.62284479686935, -122.30175090598092 47.62298112869514, -122.3017501209554 47.62298645726178, -122.30173201168567 47.622984911664375, -122.3017145679479 47.62298127794762, -122.30169831239047 47.62297566498481, -122.30168373206119 47.62296824095124, -122.30167126381423 47.62295922828541, -122.30166128122116 47.62294889702414, -122.30165408337798 47.62293755671181, -122.30164988594387 47.622925547125604, -122.30164881467965 47.62291322809526, -122.30165090168022 47.62290096872172, -122.30165608441303 47.622889136318314, -122.30166420759194 47.62287808540523, -122.30167502783021 47.622868147087665, -122.30168822093289 47.62285961913519, -122.30170339161036 47.62285275706029, -122.30172008532195 47.6228477664627, -122.30173780189477 47.62284479686935)))",357,938.56669923,128.40549149,04/01/2015 12:00:00 AM +0000,0,,Basketball,,,,Half,,,,,0,0
"MULTIPOLYGON (((-122.3688691094307 47.66701743847004, -122.36893676102332 47.66704583052463, -122.36900060360855 47.66707799653223, -122.3690017990324 47.667078655127334, -122.36899502078542 47.66707783419224, -122.36898813494561 47.667077778433644, -122.36898132951342 47.667078489373914, -122.368974790294 47.6670799476026, -122.36896869582439 47.66708211330643, -122.36896071045437 47.66708633343704, -122.36895177672969 47.66708957197471, -122.36894215632658 47.667091734059916, -122.36893213103473 47.66709275636338, -122.36892199450348 47.66709260894094, -122.36891204364046 47.66709129611074, -122.36890256991495 47.66708885632668, -122.36889385082029 47.66708536105212, -122.36888614174596 47.6670809126666, -122.36887966849692 47.66707564146704, -122.36887462067959 47.66706970185127, -122.36887114614818 47.66706326779547, -122.36886934667395 47.6670565277584, -122.36886927496423 47.66704967916107, -122.36887093311883 47.66704292260434, -122.36887427256842 47.66703645599295, -122.36887502637464 47.66703246268542, -122.368874815438 47.66702843956717, -122.36887364529815 47.66702449228826, -122.368871546684 47.66702072450709, -122.36886857470684 47.66701723516834, -122.3688691094307 47.66701743847004)))",242,446.89485729,95.65576907,04/01/2015 12:00:00 AM +0000,0,,Basketball,,,,Half,,,,,0,0
"MULTIPOLYGON (((-122.40512067397052 47.65698293045745, -122.40512518056755 47.65669862771944, -122.40536269243131 47.656700345117464, -122.40535818846378 47.65698464784643, -122.40512067397052 47.65698293045745)))",310,6070.94747447,324.49482821,04/01/2015 12:00:00 AM +0000,0,,Basketball,,,,Full,,,,,0,0
"MULTIPOLYGON (((-122.30460532304059 47.67627853534215, -122.30467017216144 47.676413022859904, -122.30438060628386 47.67647671218027, -122.30431575647589 47.67634222361596, -122.30460532304059 47.67627853534215)))",488,3870.65105391,253.23145043,04/01/2015 12:00:00 AM +0000,0,,Basketball,,,,Full,,,,,0,0
"MULTIPOLYGON (((-122.30630342896822 47.62153776767598, -122.30624857040833 47.62153760233484, -122.30619929048521 47.62153619529121, -122.30614526904156 47.62153514285518, -122.30612096664568 47.62153531790435, -122.30611973478564 47.62153532754801, -122.30604292313849 47.62153588249587, -122.30604316329672 47.621376988164016, -122.30641123685355 47.62137734708602, -122.30640666421881 47.62153789160258, -122.30630342896822 47.62153776767598)))",373,5251.71260114,297.02489721,04/01/2015 12:00:00 AM +0000,0,,Basketball,,,,Full,,,,,0,0
"MULTIPOLYGON (((-122.28956995002977 47.61110118354703, -122.28957598397378 47.61090855904655, -122.28977205751984 47.610911992332795, -122.28976602430122 47.611104616843605, -122.28956995002977 47.61110118354703)))",371,3400.08325017,237.31793924,04/01/2015 12:00:00 AM +0000,0,,Basketball,,,,Full,,,,,0,0
"MULTIPOLYGON (((-122.29982377850713 47.684727273825345, -122.29978201100111 47.68483759020876, -122.2995841945697 47.684804838219016, -122.29962722597098 47.684692039851015, -122.29982377850713 47.684727273825345)))",499,2105.90154651,184.28097236,04/01/2015 12:00:00 AM +0000,0,,Basketball,,,,Half,,,,,0,0
"MULTIPOLYGON (((-122.29620940906587 47.53974309397918, -122.2966334482704 47.539738557266716, -122.29663731547315 47.53990431191708, -122.296213276223 47.53990884772761, -122.29620940906587 47.53974309397918)))",431,6334.20803351,330.44002314,04/01/2015 12:00:00 AM +0000,0,,Basketball,,,,Full,,,,,0,0
"MULTIPOLYGON (((-122.39782994024806 47.677552469749244, -122.39781734501788 47.67755258332707, -122.39780354182508 47.67755231770646, -122.39779000471528 47.67755047687588, -122.39777712492324 47.67754711403706, -122.39776527468658 47.67754232637905, -122.39775479648745 47.677536252269505, -122.39774599315467 47.677529067255634, -122.39773911911158 47.677520978990664, -122.39773437302306 47.6775122212325, -122.39773189205401 47.67750304708783, -122.39773174790538 47.677493721697175, -122.39773394474187 47.67748451457202, -122.39773841907196 47.677475691805746, -122.39774504158281 47.677467508383316, -122.39775362087772 47.67746020081204, -122.3977639090077 47.677453980286366, -122.39777560863743 47.677449026584185, -122.39778838163855 47.67744548287118, -122.39780185886161 47.67744345156333, -122.39781565080493 47.677442991366895, -122.39782851564534 47.677442940658636, -122.39782994024806 47.677552469749244)))",3894,791.26100119,110.93814871,04/01/2015 12:00:00 AM +0000,0,,Basketball,,,,Half,,,,,0,0
"MULTIPOLYGON (((-122.40733512307774 47.57797245365032, -122.40733550820451 47.57783030025869, -122.40756955283638 47.57783300787585, -122.4075694011976 47.57797419994336, -122.40733512307774 47.57797245365032)))",446,2986.79458342,218.95818255,04/01/2015 12:00:00 AM +0000,0,,Basketball,,,,Half,,,,,0,0
"MULTIPOLYGON (((-122.26977271723878 47.55873931237318, -122.26962060580448 47.55876239015644, -122.2696209531863 47.55875124466002, -122.26961874622964 47.558740197232936, -122.26961403819706 47.55872951448502, -122.26960694270988 47.55871945422512, -122.2696001727161 47.55871145461779, -122.2695954622719 47.55870280431937, -122.26959294255529 47.55869374422807, -122.26959268373554 47.55868452665423, -122.26959469301917 47.55867540829363, -122.26959891444952 47.558666643078986, -122.26960523046499 47.55865847510833, -122.26961346517326 47.558651131847235, -122.26962338924955 47.558644817794246, -122.2696347263231 47.558639708785996, -122.26964716067367 47.55863594710043, -122.26966034602374 47.55863363749464, -122.26967391518193 47.558632844287516, -122.26971976405491 47.55868758873027, -122.26977271723878 47.55873931237318)))",414,1243.15565443,144.4644936,04/01/2015 12:00:00 AM +0000,0,,Basketball,,,,Half,,,,,0,0
"MULTIPOLYGON (((-122.29620940906587 47.53974309397918, -122.29620553866636 47.53957717654544, -122.29662957654641 47.53957264074664, -122.2966334482704 47.539738557266716, -122.29620940906587 47.53974309397918)))",431,6340.43845796,330.55911786,04/01/2015 12:00:00 AM +0000,0,,Basketball,,,,Full,,,,,0,0
"MULTIPOLYGON (((-122.31807700855295 47.55972571991229, -122.31818194904348 47.55974164773582, -122.31814769754702 47.55987465733988, -122.31804177122167 47.55985888899281, -122.31800500442814 47.55981960934066, -122.31802310000971 47.55974905267024, -122.31807700855295 47.55972571991229)))",418,1748.4441867,161.46345092,04/01/2015 12:00:00 AM +0000,0,,Basketball,,,,Half,,,,,0,0
"MULTIPOLYGON (((-122.32185613063076 47.55218172139255, -122.32185597154738 47.552124116304526, -122.32196917406444 47.552123773521956, -122.32196955542736 47.55218161949345, -122.32185613063076 47.55218172139255)))",410,589.20278316,98.07696004,04/01/2015 12:00:00 AM +0000,0,,Basketball,,,,Half,,,,,0,0
"MULTIPOLYGON (((-122.3495372649424 47.65556291635934, -122.34953847174152 47.65572770083907, -122.34926336540398 47.655728619267855, -122.34926216080771 47.65556383476746, -122.3495372649424 47.65556291635934)))",241,4075.43279055,255.81901331,04/01/2015 12:00:00 AM +0000,0,,Basketball,,,,Full,,,,,0,0
"MULTIPOLYGON (((-122.31688311917641 47.690782820967506, -122.3169774868849 47.69063117456086, -122.31727566782648 47.69071571505158, -122.31725711682131 47.6907694693123, -122.31723322483822 47.69082225358423, -122.31720410122915 47.69087382624196, -122.3168923768593 47.690785446038085, -122.31688310516775 47.69078284363993, -122.31688311917641 47.690782820967506)))",3881,5023.31501141,285.80936319,06/10/2015 12:00:00 AM +0000,0,,Basketball,,,,Full,,,,,0,0
"MULTIPOLYGON (((-122.38426886626867 47.57847647035138, -122.38426372814826 47.578479521769474, -122.38418164724509 47.57852825990169, -122.38409994169919 47.57846578090521, -122.38419142202763 47.57841091867453, -122.3842126554263 47.57839818464627, -122.38429979958275 47.578458102835505, -122.38426886626867 47.57847647035138)))",456,1159.52956979,137.06825695,04/01/2015 12:00:00 AM +0000,0,,Basketball,,,,Half,,,,,0,0
"MULTIPOLYGON (((-122.3142239126695 47.7164241637815, -122.31422128346105 47.71642515515839, -122.31421893357808 47.716426426468566, -122.31421692780833 47.71642794266123, -122.31421532145228 47.71642966193396, -122.31421415879812 47.71643153688533, -122.31421347190106 47.716433515821755, -122.31421327969937 47.716435544182644, -122.31421359044208 47.716437576714874, -122.31421439785716 47.71643954604535, -122.3142156794461 47.71644139729886, -122.31424508791493 47.71647988256148, -122.31424835340765 47.71648518837492, -122.31425040924812 47.7164907636071, -122.31425120940936 47.716496483438426, -122.31425086530808 47.71650150443797, -122.3142495522953 47.716506452084595, -122.31424729287049 47.71651124159565, -122.3142441257508 47.71651579089823, -122.31423091609369 47.71653180172305, -122.31422830588433 47.71653502132878, -122.31422643043067 47.716538466162596, -122.3142253310323 47.71654206036571, -122.31422503189933 47.716545724789995, -122.3142256738795 47.71654988257163, -122.31422734435799 47.71655390798904, -122.31422999560792 47.716557686032395, -122.31423355188089 47.71656110875957, -122.31423791157108 47.71656407838011, -122.31424295011823 47.716566510049226, -122.3142485235665 47.71656833429185, -122.31417368547746 47.716568888857616, -122.31417245536238 47.71656889853643, -122.31409639512617 47.7165694617272, -122.31409620206442 47.71656170968259, -122.31409614000128 47.71655920600221, -122.31409603700693 47.71655503319583, -122.31409275175542 47.71642285535302, -122.3141224116127 47.71642275893495, -122.3142239126695 47.7164241637815)))",382,1822.46039217,182.82156772,04/01/2015 12:00:00 AM +0000,0,,Basketball,,,,Half,,,,,0,0
"MULTIPOLYGON (((-122.26013719410031 47.514820239752325, -122.260137360006 47.51501706306922, -122.25993186596243 47.51501714254175, -122.25993170083251 47.514820319224555, -122.26013719410031 47.514820239752325)))",439,3645.82665393,245.15129055,04/01/2015 12:00:00 AM +0000,0,,Basketball,,,,Full,,,,,0,0
"MULTIPOLYGON (((-122.31913148443029 47.659389232943944, -122.31909910228407 47.659351319673995, -122.31919518827581 47.65931386164641, -122.31922734341161 47.65935193708112, -122.31913167618202 47.6593892331413, -122.31913148443029 47.659389232943944)))",595,436.5206016,86.5616604,04/01/2015 12:00:00 AM +0000,0,,Basketball,,,,Half,,,,,0,0
"MULTIPOLYGON (((-122.28618119286963 47.537873852866504, -122.28642741434976 47.53787253244767, -122.28642892793528 47.53789903594387, -122.28645598727721 47.53813926853859, -122.28625511440707 47.53815117228088, -122.28621723079159 47.538126973496055, -122.28618338107556 47.53791226381503, -122.28618119286963 47.537873852866504)))",429,5924.55171487,313.84130259,04/01/2015 12:00:00 AM +0000,0,,Basketball,,,,Full,,,,,0,0
"MULTIPOLYGON (((-122.29576198537913 47.60510230518721, -122.29576743491424 47.60490454003405, -122.29609401949568 47.60490530486635, -122.29608986290427 47.605105534524355, -122.29576198537913 47.60510230518721)))",345,5860.51794382,306.65397246,04/01/2015 12:00:00 AM +0000,0,,Basketball,,,,Full,,,,,0,0
"MULTIPOLYGON (((-122.25775279564621 47.681675479927755, -122.25749627586283 47.681678790723254, -122.25749513604293 47.68165557488225, -122.25748969125053 47.68154469122348, -122.25774580556673 47.68153953954643, -122.25775279564621 47.681675479927755)))",398,3112.1964198,224.87425052,04/01/2015 12:00:00 AM +0000,0,,Basketball,,,,Full,,,,,0,0
"MULTIPOLYGON (((-122.31340165563427 47.66504948421188, -122.3134019837752 47.66502756834321, -122.31356185901508 47.66502865927607, -122.3135615309416 47.66505057514518, -122.31355831240377 47.66505944947363, -122.31355294775862 47.66506783683989, -122.31354558730672 47.66507550225469, -122.31353643726541 47.66508223095568, -122.31352575399144 47.66508783442434, -122.31351383679853 47.66509215566782, -122.3135010195715 47.66509507361748, -122.31348766141168 47.66509650652082, -122.31347413657593 47.66509641423206, -122.31346082399095 47.66509479933687, -122.31344809663669 47.6650917070799, -122.31343631109654 47.66508722409724, -122.31342579756668 47.66508147598899, -122.31341685060515 47.66507462380037, -122.31340972087887 47.66506685950964, -122.31340460814096 47.66505840064938, -122.31340165563427 47.66504948421188)))",4471,822.47241812,112.10931585,04/01/2015 12:00:00 AM +0000,0,,Basketball,,,,Half,,,,,0,0
"MULTIPOLYGON (((-122.28468196050949 47.519486457696175, -122.2844808903068 47.51948827364805, -122.2844807677786 47.519284289644396, -122.28468407904808 47.519283197111946, -122.28468196050949 47.519486457696175)))",436,3710.69243286,248.47816463,04/01/2015 12:00:00 AM +0000,0,,Basketball,,,,Full,,,,,0,0
"MULTIPOLYGON (((-122.31974825022522 47.61607054688177, -122.3199952332742 47.61606635803635, -122.31999804208048 47.61632045340218, -122.31998546054517 47.616321781852236, -122.31997296893715 47.616326210963415, -122.3199634055235 47.61633142585897, -122.3199058580564 47.61633279834023, -122.31988423536414 47.616333080794206, -122.31983137329681 47.61633350412354, -122.31979653732688 47.61633395915573, -122.31975620092567 47.61633431149865, -122.31974825022522 47.61607054688177)))",3102,5796.0462668,310.62226215,04/01/2015 12:00:00 AM +0000,0,,Basketball,,,,Full,,,,,0,0
"MULTIPOLYGON (((-122.28371267007847 47.6674194972259, -122.28397883143522 47.66741626100092, -122.28398145573959 47.6675147287716, -122.28371529252239 47.66751796412036, -122.28371267007847 47.6674194972259)))",496,2356.28985947,203.03050772,04/01/2015 12:00:00 AM +0000,0,,Basketball,,,,Full,,,,,0,0
"MULTIPOLYGON (((-122.31098612267316 47.67271767273658, -122.31099897405531 47.67306254086876, -122.31076309347918 47.67306655008702, -122.31073072388706 47.67298643037928, -122.31072362023855 47.672795762091184, -122.31075024499256 47.672721681911085, -122.31098612267316 47.67271767273658)))",391,8022.22906032,369.77144015,04/01/2015 12:00:00 AM +0000,0,,Basketball,,,,Full,,,,,0,0
"MULTIPOLYGON (((-122.3501169677836 47.69275267798292, -122.35011619589828 47.69271159050631, -122.35009803801282 47.692711745803486, -122.35009753047113 47.6926847777746, -122.35011579090471 47.692684621112534, -122.35011523626154 47.69265508172756, -122.35012237319181 47.69265500473494, -122.35012219105116 47.692647351484176, -122.35015740942148 47.6926469691217, -122.35015728938085 47.692642857705756, -122.35021808366925 47.69264219699815, -122.35021820371468 47.692646308414055, -122.35025941212811 47.692645860687406, -122.35025936267094 47.692641748331994, -122.35031538303048 47.69264113941915, -122.35031561496452 47.69264524934575, -122.35033687252752 47.69264501856915, -122.3503389335622 47.69264605987095, -122.35033964045482 47.69268281659474, -122.35035747195735 47.692682663804185, -122.35035796441242 47.69270883677994, -122.35034052453707 47.692708986156745, -122.3503413001257 47.69275024001262, -122.3501169677836 47.69275267798292)))",4408,2242.95542505,210.53679599,04/01/2015 12:00:00 AM +0000,0,,Basketball,,,,Full,,,,,0,0
"MULTIPOLYGON (((-122.32025338043539 47.644064067025575, -122.3202526629163 47.644071001803155, -122.32025017656849 47.64407774739311, -122.32024599674858 47.64408409934741, -122.32024025013966 47.64408986514832, -122.32023311091196 47.6440948700435, -122.32022479544392 47.64409896234242, -122.32021555576421 47.64410201801385, -122.32020567191306 47.64410394444512, -122.32019544345472 47.64410468324906, -122.32018518039793 47.64410421203372, -122.32017519380011 47.644102545080834, -122.32016578633959 47.6440997329132, -122.32015724314186 47.6440958607633, -122.32014982313771 47.64409104598993, -122.32014375121554 47.64408543452139, -122.32013921140533 47.64407919643246, -122.32013634130098 47.64407252078976, -122.32013522789012 47.644065609921405, -122.32013594542481 47.64405867514458, -122.32013843178652 47.6440519295571, -122.32014261161697 47.64404557760676, -122.32014835823183 47.64403981181077, -122.32015549746012 47.64403480692087, -122.32016381292335 47.64403071462702, -122.32017305259345 47.644027658959786, -122.32018293643128 47.64402573253135, -122.32019316487431 47.64402499372851, -122.32020342791553 47.644025464943155, -122.32021341449945 47.64402713189356, -122.32022282194939 47.644029944057245, -122.32023136514118 47.644033816202246, -122.32023878514472 47.64403863097031, -122.3202448570717 47.644044242433786, -122.32024939689151 47.644050480518516, -122.32025226700917 47.64405715615837, -122.32025338043539 47.644064067025575)))",379,664.82437421,91.40245759,04/01/2015 12:00:00 AM +0000,0,,Basketball,,,,Half,,,,,0,0
"MULTIPOLYGON (((-122.28611298330624 47.56233549015052, -122.28631725115527 47.56233498195108, -122.28631852175704 47.56256885220343, -122.28611425301598 47.56256936130437, -122.28611298330624 47.56233549015052)))",423,4302.3668556,271.48259867,04/01/2015 12:00:00 AM +0000,0,,Basketball,,,,Full,,,,,0,0
