the_geom,PMAID,LINK_1,LINK_2,ALT_NAME,DESCRIPTIO,LOCATION_I,POINT_X,POINT_Y,GIS_EDT_DT,LATITUDE,LONGITUDE,PARK
POINT (-122.30215237820417 47.58718436000328),406,,,Colman PG SH,Closed in Winter,,1277968.73266543,217646.07995492,11/30/1899 12:00:00 AM +0000,217646.07995492,1277968.73266543,COLMAN PLAYGROUND
POINT (-122.33645811389773 47.68522005070778),307,,,Green Lake Park Wading Pool CS,Open Year Round,,1270202.88766548,253562.7531437,11/30/1899 12:00:00 AM +0000,253562.7531437,1270202.88766548,GREEN LAKE PARK
POINT (-122.35087446729538 47.69353082721217),4408,,,Greenwood Park CS,Closed in Winter,,1266712.42942192,256663.33881088,11/30/1899 12:00:00 AM +0000,256663.33881088,1266712.42942192,GREENWOOD PARK
POINT (-122.36711424817828 47.6277171652031),314,,,Kinnear Park Obs Deck CS,Closed in Winter,,1262235.37572132,232740.81974638,11/30/1899 12:00:00 AM +0000,232740.81974638,1262235.37572132,KINNEAR PARK
POINT (-122.3056046323523 47.671526295649485),391,,,Ravenna Park Upper CS,Closed in Winter,,1277705.48844117,248421.74801844,11/30/1899 12:00:00 AM +0000,248421.74801844,1277705.48844117,RAVENNA PARK
POINT (-122.41303676175156 47.57858258865761),445,,,Alki Beach 63rd St CS,Open Year Round,,1250546.04636535,215051.06542426,11/30/1899 12:00:00 AM +0000,215051.06542426,1250546.04636535,ALKI BEACH PARK
POINT (-122.33242145452768 47.663957022897314),1104,,,Meridian PG CS,Open Year Round,,1271045.90008235,245788.80350374,11/30/1899 12:00:00 AM +0000,245788.80350374,1271045.90008235,MERIDIAN PLAYGROUND
POINT (-122.38436113009959 47.578153891933844),456,,,Hiawatha CC,Closed in Winter,,1257619.0703086,214750.76814397,11/30/1899 12:00:00 AM +0000,214750.76814397,1257619.0703086,HIAWATHA PLAYFIELD
POINT (-122.31513161422326 47.63202695690288),399,,,Volunteer Park Pergola CS,Open Year Round,,1275081.28607048,234061.46569973,11/30/1899 12:00:00 AM +0000,234061.46569973,1275081.28607048,VOLUNTEER PARK
POINT (-122.33917023506665 47.69878272609884),286,,,Licton Springs Park SH,Closed in Winter,,1269631.7854569,258522.07065278,11/30/1899 12:00:00 AM +0000,258522.07065278,1269631.7854569,LICTON SPRINGS PARK
POINT (-122.3605494924638 47.645027253151405),331,,,Queen Anne Bowl CS,Open Year Round,,1263979.11793111,239021.50666481,11/30/1899 12:00:00 AM +0000,239021.50666481,1263979.11793111,QUEEN ANNE BOWL PLAYFIELD
POINT (-122.38213721420827 47.67975225893296),249,,,Salmon Bay Park CS,Closed in Winter,,1258913.66256593,251791.77835789,11/30/1899 12:00:00 AM +0000,251791.77835789,1258913.66256593,SALMON BAY PARK
POINT (-122.2810518664962 47.66739662393063),496,,,Burke-Gilman Park CS,Open Year Round,,1283725.29235134,246800.89432079,11/30/1899 12:00:00 AM +0000,246800.89432079,1283725.29235134,BURKE-GILMAN PLAYGROUND PARK
POINT (-122.29635582525408 47.62894115306518),4487,,,Washington Pk Japn Grdn Gate Hse,Open Year Round,,1279688.4730192,232847.50525048,11/30/1899 12:00:00 AM +0000,232847.50525048,1279688.4730192,WASHINGTON PARK - JAPANESE GDN
POINT (-122.3821105104351 47.59243472118036),3917,,,Armeni Boat Ramp CS,Closed in Winter,,1258279.28259727,219947.67342928,11/30/1899 12:00:00 AM +0000,219947.67342928,1258279.28259727,DON ARMENI PARK
POINT (-122.28257304271278 47.61016635905233),370,,,Madrona Park Conc/CS,Open Year Round,,1282957.44217454,225936.02530742,11/30/1899 12:00:00 AM +0000,225936.02530742,1282957.44217454,MADRONA PARK
POINT (-122.27229840342542 47.52479992269804),422,,,Rainier Beach PF CS,Open Year Round,,1284909.20633654,194755.22578749,11/30/1899 12:00:00 AM +0000,194755.22578749,1284909.20633654,RAINIER BEACH PLAYFIELD
POINT (-122.32814521330972 47.721924508029744),361,,,Northacres Park Wading Pool CS,Closed in Winter,,1272510.10846785,266908.90067737,11/30/1899 12:00:00 AM +0000,266908.90067737,1272510.10846785,NORTHACRES PARK
POINT (-122.25155795228929 47.561962264730994),428,,,Seward Park North Point CS,Open Year Round,,1290282.50989404,208213.32058527,11/30/1899 12:00:00 AM +0000,208213.32058527,1290282.50989404,SEWARD PARK
POINT (-122.39477180991642 47.534339051490896),460,,,Lincoln Park Wading Pool SH,Open Year Round,,1254725.78704163,198823.89907165,11/30/1899 12:00:00 AM +0000,198823.89907165,1254725.78704163,LINCOLN PARK
POINT (-122.32508127334881 47.64294737768111),380,,,Rogers PG CS,Closed in Winter,,1272705.72747605,238091.50199185,11/30/1899 12:00:00 AM +0000,238091.50199185,1272705.72747605,ROGERS PLAYGROUND
POINT (-122.36968058055697 47.66709164529725),242,,,Gilman PG SH,Closed in Winter,,1261889.39447297,247113.03441709,11/30/1899 12:00:00 AM +0000,247113.03441709,1261889.39447297,GILMAN PLAYGROUND
POINT (-122.25720394043695 47.5515246156379),428,,,Seward Park Art Studio,Closed in Winter,,1288818.33632454,204432.4229814,11/30/1899 12:00:00 AM +0000,204432.4229814,1288818.33632454,SEWARD PARK
POINT (-122.28910442909232 47.58064512010957),419,,,Mt Baker Beach Bathhouse,Closed in Winter,,1281142.95865269,215200.04084842,11/30/1899 12:00:00 AM +0000,215200.04084842,1281142.95865269,MOUNT BAKER PARK
POINT (-122.38040809114831 47.553868184075206),452,,,Fairmount PG CS,Closed in Winter,,1258416.48502941,205874.34496687,11/30/1899 12:00:00 AM +0000,205874.34496687,1258416.48502941,FAIRMOUNT PLAYGROUND
POINT (-122.27331172176945 47.696372556541114),347,,,Matthews Beach Bathhouse,Closed in Winter,,1285829.85836948,257332.70098756,11/30/1899 12:00:00 AM +0000,257332.70098756,1285829.85836948,MATTHEWS BEACH PARK
POINT (-122.26389941702807 47.52434070092321),440,,,Beer Sheva Park CS,Closed in Winter,,1286980.88755466,194549.06015527,11/30/1899 12:00:00 AM +0000,194549.06015527,1286980.88755466,BEER SHEVA PARK
POINT (-122.24692275402758 47.68050998966584),398,,,Magnuson Park Bathhouse,Closed in Winter,,1292220.98240803,251427.07339752,11/30/1899 12:00:00 AM +0000,251427.07339752,1292220.98240803,WARREN G. MAGNUSON PARK
POINT (-122.39919401125384 47.64063219541176),319,,,W Magnolia PF South CS,Open Year Round,,1254422.46185732,237610.09610337,11/30/1899 12:00:00 AM +0000,237610.09610337,1254422.46185732,WEST MAGNOLIA PLAYFIELD
POINT (-122.32865335590085 47.68027360719961),307,,,Green Lake CC,Open Year Round,,1272089.87013142,251721.35032582,11/30/1899 12:00:00 AM +0000,251721.35032582,1272089.87013142,GREEN LAKE PARK
POINT (-122.40557857418959 47.58127666408927),445,,,Alki Beach 57th St CS,Open Year Round,,1252406.54499125,215995.86996923,11/30/1899 12:00:00 AM +0000,215995.86996923,1252406.54499125,ALKI BEACH PARK
POINT (-122.42071040379157 47.66396283468496),310,,,Disco Park North Bluff CS,Open Year Round,,1249294.81398007,246227.16286419,11/30/1899 12:00:00 AM +0000,246227.16286419,1249294.81398007,DISCOVERY PARK
POINT (-122.29387516017518 47.70648786978887),352,,,Meadowbrook PF SH,Open Year Round,,1280836.84998037,261117.18751945,11/30/1899 12:00:00 AM +0000,261117.18751945,1280836.84998037,MEADOWBROOK PLAYFIELD
POINT (-122.40962708600776 47.579694818953726),445,,,Alki Beach Bathhouse,Open Year Round,,1251395.74550223,215439.42785667,11/30/1899 12:00:00 AM +0000,215439.42785667,1251395.74550223,ALKI BEACH PARK
POINT (-122.34993767403336 47.53728793706997),463,,,Riverview PF CS,Closed in Winter,,1265820.007661,199677.86617653,11/30/1899 12:00:00 AM +0000,199677.86617653,1265820.007661,RIVERVIEW PLAYFIELD
POINT (-122.29573098376682 47.58769810451929),401,,,Bradner Gardens Park CS,Open Year Round,,1279556.65503506,217803.26497908,11/30/1899 12:00:00 AM +0000,217803.26497908,1279556.65503506,BRADNER GARDENS PARK
POINT (-122.29053120876165 47.60280844143837),378,,,Peppi's PG SH,Closed in Winter,,1280943.95346849,223289.6611447,11/30/1899 12:00:00 AM +0000,223289.6611447,1280943.95346849,PEPPIS PLAYGROUND
POINT (-122.34646621658948 47.670777771689295),292,,,Woodland Park Central CS #5,Closed in Winter,,1267634.67300686,248344.02539437,11/30/1899 12:00:00 AM +0000,248344.02539437,1267634.67300686,WOODLAND PARK
POINT (-122.27793137891327 47.5651918339973),409,,,Genesee Park CS,Open Year Round,,1283794.25516741,209512.2549866,11/30/1899 12:00:00 AM +0000,209512.2549866,1283794.25516741,GENESEE PARK AND PLAYFIELD
POINT (-122.29951072376865 47.68453316216227),499,,,Dahl PF SH,Open Year Round,,1279296.9977548,253136.68709527,11/30/1899 12:00:00 AM +0000,253136.68709527,1279296.9977548,DAHL (WALDO J.) PLAYFIELD
POINT (-122.30292018261525 47.669220207738626),391,,,Ravenna Park Lower SH,Closed in Winter,,1278350.69093783,247568.07844956,11/30/1899 12:00:00 AM +0000,247568.07844956,1278350.69093783,RAVENNA PARK
POINT (-122.27695883144936 47.53659223118413),403,,,Othello Park SH,Closed in Winter,,1283838.63174345,199077.45337591,11/30/1899 12:00:00 AM +0000,199077.45337591,1283838.63174345,OTHELLO PARK
POINT (-122.27678497453194 47.636104084297344),369,,,Madison Park Bathhouse,Open Year Round,,1284562.36844818,235368.71178107,11/30/1899 12:00:00 AM +0000,235368.71178107,1284562.36844818,MADISON PARK
POINT (-122.3734860674855 47.55580040274163),4154,,,Camp Long East CS,Open Year Round,,1260139.53117518,206544.72647156,11/30/1899 12:00:00 AM +0000,206544.72647156,1260139.53117518,CAMP LONG
POINT (-122.25346134052927 47.68097224343021),398,,,Magnuson Park Sports Meadow SH,Open Year Round,,1290613.68999039,251625.31186172,11/30/1899 12:00:00 AM +0000,251625.31186172,1290613.68999039,WARREN G. MAGNUSON PARK
POINT (-122.34933822600024 47.527137603268194),457,,,Highland Park PG SH,Closed in Winter,,1265895.11806108,195973.18169273,11/30/1899 12:00:00 AM +0000,195973.18169273,1265895.11806108,HIGHLAND PARK PLAYGROUND
POINT (-122.30440983404974 47.59456581212524),397,,,Judkins Park & PF Upper SH,Closed in Winter,,1277463.21304892,220348.7241177,11/30/1899 12:00:00 AM +0000,220348.7241177,1277463.21304892,JUDKINS PARK AND PLAYFIELD
POINT (-122.249059466602 47.67861728461956),398,,,Magnuson Park Lookout CS,Open Year Round,,1291682.02611949,250746.47077282,11/30/1899 12:00:00 AM +0000,250746.47077282,1291682.02611949,WARREN G. MAGNUSON PARK
POINT (-122.2943752770859 47.63980422432424),393,,,Donald Graham Visitor Center,Open Year Round,,1280251.96959578,236799.98647054,11/30/1899 12:00:00 AM +0000,236799.98647054,1280251.96959578,WASHINGTON PARK AND ARBORETUM
POINT (-122.3336623466782 47.64626025948815),293,,,Gas Works Park Conc/CS,Open Year Round,,1270614.3461619,239340.81706514,11/30/1899 12:00:00 AM +0000,239340.81706514,1270614.3461619,GAS WORKS PARK
POINT (-122.26966549191245 47.558989664171065),414,,,Lakewood PG CS,Closed in Winter,,1285792.36339346,207212.11981624,11/30/1899 12:00:00 AM +0000,207212.11981624,1285792.36339346,LAKEWOOD PLAYGROUND
POINT (-122.31747659233113 47.59300168458678),433,,,Jose Rizal Park CS,Open Year Round,,1274228.69394161,219840.19202118,11/30/1899 12:00:00 AM +0000,219840.19202118,1274228.69394161,DR. JOSE RIZAL PARK
POINT (-122.36943890097834 47.51964222421782),464,,,Roxhill Park CS,Closed in Winter,,1260875.43056794,193338.14655404,11/30/1899 12:00:00 AM +0000,193338.14655404,1260875.43056794,ROXHILL PARK
POINT (-122.30667641673621 47.60062475390964),390,,,Pratt Park CS,Closed in Winter,,1276946.3653044,222569.10779996,11/30/1899 12:00:00 AM +0000,222569.10779996,1276946.3653044,PRATT PARK
POINT (-122.36363341651433 47.56341387699134),450,,,Delridge PF CS,Closed in Winter,,1262627.13508172,209272.77517834,11/30/1899 12:00:00 AM +0000,209272.77517834,1262627.13508172,DELRIDGE PLAYFIELD
POINT (-122.42794570061196 47.66091233554029),310,,,Disco Park Beach CS,Open Year Round,,1247489.27234623,245151.54033509,11/30/1899 12:00:00 AM +0000,245151.54033509,1247489.27234623,DISCOVERY PARK
POINT (-122.250346154094 47.54970763883192),428,,,Seward Park South Beach CS,Closed in Winter,,1290499.34413427,203738.50963669,11/30/1899 12:00:00 AM +0000,203738.50963669,1290499.34413427,SEWARD PARK
POINT (-122.39410715864378 47.52815588470257),460,,,Lincoln Park Conc/CS,Closed in Winter,,1254844.20086576,196565.63026933,11/30/1899 12:00:00 AM +0000,196565.63026933,1254844.20086576,LINCOLN PARK
POINT (-122.40040202317935 47.690315203124214),243,,,Golden Gardens Upper CS,Open Year Round,,1254493.7271374,255735.06277792,11/30/1899 12:00:00 AM +0000,255735.06277792,1254493.7271374,GOLDEN GARDENS PARK
POINT (-122.41493177846304 47.665019418117744),310,,,Disco Park Main CS,Open Year Round,,1250726.35804555,246583.17131256,11/30/1899 12:00:00 AM +0000,246583.17131256,1250726.35804555,DISCOVERY PARK
POINT (-122.33684559805226 47.65874166868241),449,,,Wallingford PF SH,Open Year Round,,1269918.7782892,243908.05002981,11/30/1899 12:00:00 AM +0000,243908.05002981,1269918.7782892,WALLINGFORD PLAYFIELD
POINT (-122.34492614480311 47.665711477934806),292,,,Woodland Park Central CS #3,Open Year Round,,1267977.74641521,246488.91460846,11/30/1899 12:00:00 AM +0000,246488.91460846,1267977.74641521,WOODLAND PARK
POINT (-122.37475455943289 47.55626888495838),4154,,,Camp Long West CS,Open Year Round,,1259829.79389486,206721.84883975,11/30/1899 12:00:00 AM +0000,206721.84883975,1259829.79389486,CAMP LONG
POINT (-122.32201288474137 47.55120840508978),410,,,Georgetown PF SH,Open Year Round,,1272814.69611616,204619.93798959,11/30/1899 12:00:00 AM +0000,204619.93798959,1272814.69611616,GEORGETOWN PLAYFIELD
POINT (-122.30437922047587 47.6009830377686),395,,,Dr. Lavizzo Park CS,Closed in Winter,,1277515.50719297,222688.93205608,11/30/1899 12:00:00 AM +0000,222688.93205608,1277515.50719297,DR. BLANCHE LAVIZZO PARK
POINT (-122.28641197211385 47.539433576755286),429,,,John C. Little Sr Park CS,Closed in Winter,,1281523.53433308,200157.63622502,11/30/1899 12:00:00 AM +0000,200157.63622502,1281523.53433308,"JOHN C. LITTLE, SR. PARK"
POINT (-122.36946429313033 47.5333739493042),458,,,E. C. Hughes PG SH,Closed in Winter,,1260969.13252003,198346.12543917,11/30/1899 12:00:00 AM +0000,198346.12543917,1260969.13252003,E.C. HUGHES PLAYGROUND
POINT (-122.30077962378554 47.607705341942705),353,,,Garfield PF SH,Open Year Round,,1278450.15986593,225123.59484258,11/30/1899 12:00:00 AM +0000,225123.59484258,1278450.15986593,GARFIELD PLAYFIELD
POINT (-122.31033027121613 47.56981562531921),114,,,Jefferson Park CS,Open Year Round,,1275829.40363924,211350.36353248,11/30/1899 12:00:00 AM +0000,211350.36353248,1275829.40363924,JEFFERSON PARK
POINT (-122.30965917650661 47.64133584104001),376,,,Montlake CC Tudor Bldg CS,Closed in Winter,,1276495.47839193,237430.46883918,11/30/1899 12:00:00 AM +0000,237430.46883918,1276495.47839193,MONTLAKE PLAYFIELD
POINT (-122.29402152140166 47.73129059742559),297,,,Little Brook Park CS,Closed in Winter,,1280972.53247651,270163.45095271,11/30/1899 12:00:00 AM +0000,270163.45095271,1280972.53247651,LITTLE BROOK PARK
POINT (-122.2793572836731 47.563016471675674),409,,,Genesee PF CS,Open Year Round,,1283427.37990303,208725.51015379,11/30/1899 12:00:00 AM +0000,208725.51015379,1283427.37990303,GENESEE PARK AND PLAYFIELD
POINT (-122.28268823013931 47.60922685361627),370,,,Madrona Dance Studio,Closed in Winter,,1282922.5804145,225593.92226706,11/30/1899 12:00:00 AM +0000,225593.92226706,1282922.5804145,MADRONA PARK
POINT (-122.25983119629257 47.514721805943125),439,,,Hutchinson CC,Closed in Winter,,1287920.83353964,191022.37003966,11/30/1899 12:00:00 AM +0000,191022.37003966,1287920.83353964,FRED HUTCHINSON PLAYGROUND
POINT (-122.35879822732595 47.64400514848444),331,,,David Rodgers Park CS,Open Year Round,,1264403.33399555,238640.18986443,11/30/1899 12:00:00 AM +0000,238640.18986443,1264403.33399555,DAVID RODGERS PARK
POINT (-122.34145168215161 47.66855547453656),292,,,Lower Woodland PF Cloverlf SH,Closed in Winter,,1268854.03243211,247509.31249751,11/30/1899 12:00:00 AM +0000,247509.31249751,1268854.03243211,WOODLAND PARK
POINT (-122.31916673285843 47.61648185475988),3102,,,Cal Anderson Park CS,Open Year Round,,1273977.08414935,228411.39042994,11/30/1899 12:00:00 AM +0000,228411.39042994,1273977.08414935,CAL ANDERSON PARK
POINT (-122.26325441933302 47.52340017283148),4081,,,Atlantic City Boat Ramp CS,Open Year Round,,1287133.84819482,194203.08613892,11/30/1899 12:00:00 AM +0000,194203.08613892,1287133.84819482,ATLANTIC CITY BOAT RAMP
POINT (-122.35390803919624 47.6361351218469),329,,,E Queen Anne PG SH,Closed in Winter,,1265551.84580472,235746.18083745,11/30/1899 12:00:00 AM +0000,235746.18083745,1265551.84580472,EAST QUEEN ANNE PLAYGROUND
POINT (-122.29383802955604 47.62738133845013),4486,,,Washington Park SH,Open Year Round,,1280298.39801182,232266.8495699,11/30/1899 12:00:00 AM +0000,232266.8495699,1280298.39801182,WASHINGTON PARK
POINT (-122.31825990963753 47.55967233043426),418,,,Maple Wood PF CS,Closed in Winter,,1273800.87749317,207688.80192873,11/30/1899 12:00:00 AM +0000,207688.80192873,1273800.87749317,MAPLE WOOD PLAYFIELD
POINT (-122.34623933287898 47.67304733789831),292,,,Woodland Park Bowl Clubhouse,Closed in Winter,,1267706.83588693,249170.6268032,11/30/1899 12:00:00 AM +0000,249170.6268032,1267706.83588693,WOODLAND PARK
POINT (-122.28718147616662 47.600919293564644),367,,,Leschi Moorage CS,Closed in Winter,,1281757.17522931,222585.05986399,11/30/1899 12:00:00 AM +0000,222585.05986399,1281757.17522931,LESCHI PARK
POINT (-122.37829113685265 47.6950647102318),251,,,Soundview PF CS,Closed in Winter,,1259973.02947901,257357.07365958,11/30/1899 12:00:00 AM +0000,257357.07365958,1259973.02947901,SOUNDVIEW PLAYFIELD
POINT (-122.3729301800585 47.54034285246486),3941,,,Walt Hundley PF (High Point) CS,Closed in Winter,,1260163.9723912,200904.73644978,11/30/1899 12:00:00 AM +0000,200904.73644978,1260163.9723912,WALT HUNDLEY PLAYFIELD
POINT (-122.35855202772146 47.69560285147648),250,,,Sandel PG SH,Closed in Winter,,1264837.00631599,257456.37170769,11/30/1899 12:00:00 AM +0000,257456.37170769,1264837.00631599,SANDEL PLAYGROUND
POINT (-122.3954944258538 47.52691972538308),460,,,Lincoln Park Beach CS,Open Year Round,,1254492.3859534,196121.76927689,11/30/1899 12:00:00 AM +0000,196121.76927689,1254492.3859534,LINCOLN PARK
POINT (-122.31573879448307 47.58642761503157),400,,,Beacon Hill PG SH,Closed in Winter,,1274611.22463,217434.3818427,11/30/1899 12:00:00 AM +0000,217434.3818427,1274611.22463,BEACON HILL PLAYGROUND
POINT (-122.28277326845041 47.5483141461044),402,,,Brighton PF SH,Closed in Winter,,1282483.15180606,203379.43360432,11/30/1899 12:00:00 AM +0000,203379.43360432,1282483.15180606,BRIGHTON PLAYFIELD
POINT (-122.40073047176003 47.530410552028265),460,,,Colman Pool,Closed in Winter,,1253224.9574081,197421.13811022,11/30/1899 12:00:00 AM +0000,197421.13811022,1253224.9574081,LINCOLN PARK
POINT (-122.33354749144598 47.675579410954185),307,,,Green Lake Park 65th St CS,Open Year Round,,1270851.12293015,250032.85502809,11/30/1899 12:00:00 AM +0000,250032.85502809,1270851.12293015,GREEN LAKE PARK
POINT (-122.24632517858423 47.51058676903157),3972,,,Lakeridge PG CS,Closed in Winter,,1291230.17895101,189452.73701406,11/30/1899 12:00:00 AM +0000,189452.73701406,1291230.17895101,LAKERIDGE PLAYGROUND
POINT (-122.30359856448142 47.59261727267294),397,,,Judkins Park & PF Lower CS,Closed in Winter,,1277649.77202511,219634.26952496,11/30/1899 12:00:00 AM +0000,219634.26952496,1277649.77202511,JUDKINS PARK AND PLAYFIELD
POINT (-122.31971586902944 47.664443350274006),435,,,University PG CS,Closed in Winter,,1274179.55294956,245905.44107187,11/30/1899 12:00:00 AM +0000,245905.44107187,1274179.55294956,UNIVERSITY PLAYGROUND
POINT (-122.40398630921409 47.69177540115011),243,,,Golden Gardens Bathhouse,Open Year Round,,1253622.01532851,256285.57778649,11/30/1899 12:00:00 AM +0000,256285.57778649,1253622.01532851,GOLDEN GARDENS PARK
POINT (-122.40734298520375 47.57905887685863),446,,,Alki PG CS,Closed in Winter,,1251954.6265908,215195.96904041,11/30/1899 12:00:00 AM +0000,215195.96904041,1251954.6265908,ALKI PLAYGROUND
POINT (-122.29607657820831 47.604696651040555),345,,,Powell Barnett Park CS,Closed in Winter,,1279589.23436309,224004.24207343,11/30/1899 12:00:00 AM +0000,224004.24207343,1279589.23436309,POWELL BARNETT PARK
POINT (-122.2548373848284 47.551239384385234),428,,,Seward Park Upper CS,Closed in Winter,,1289400.72493315,204317.59507728,11/30/1899 12:00:00 AM +0000,204317.59507728,1289400.72493315,SEWARD PARK
POINT (-122.37746990492454 47.71299200403544),240,,,Carkeek Park CS,Open Year Round,,1260306.43139935,263890.97331429,11/30/1899 12:00:00 AM +0000,263890.97331429,1260306.43139935,CARKEEK PARK
POINT (-122.28978395725946 47.61129601874189),371,,,Madrona PG SH,Closed in Winter,,1281186.85881273,226381.58965987,11/30/1899 12:00:00 AM +0000,226381.58965987,1281186.85881273,MADRONA PLAYGROUND
POINT (-122.33189014930367 47.621848290373805),350,,,Cascade PG CS,Open Year Round,,1270877.71672218,230429.35228801,11/30/1899 12:00:00 AM +0000,230429.35228801,1270877.71672218,CASCADE PLAYGROUND
POINT (-122.3167103758089 47.68937541074847),3881,,,Maple Leaf PG SH,Closed in Winter,,1275095.28696649,254983.83007316,11/30/1899 12:00:00 AM +0000,254983.83007316,1275095.28696649,MAPLE LEAF RESERVOIR PARK
POINT (-122.31723454632747 47.6303207615965),399,,,Volunteer Park Bandstand CS,Closed in Winter,,1274550.87538193,233449.2107231,11/30/1899 12:00:00 AM +0000,233449.2107231,1274550.87538193,VOLUNTEER PARK
POINT (-122.2808041483689 47.679733401873335),444,,,Viewridge PF SH,Open Year Round,,1283870.95417549,251298.98635739,11/30/1899 12:00:00 AM +0000,251298.98635739,1283870.95417549,VIEW RIDGE PLAYFIELD
POINT (-122.32614021967308 47.72064519451646),361,,,Northacres Park PF CS,Closed in Winter,,1272994.46866034,266432.75859688,11/30/1899 12:00:00 AM +0000,266432.75859688,1272994.46866034,NORTHACRES PARK
POINT (-122.41840294210685 47.65449816911286),310,,,Disco Park South Bluff CS,Open Year Round,,1249792.17718059,242763.79082865,11/30/1899 12:00:00 AM +0000,242763.79082865,1249792.17718059,DISCOVERY PARK
POINT (-122.34374270634738 47.52208155409174),468,,,Westcrest Park CS S,Open Year Round,,1267241.09111846,194102.08633082,11/30/1899 12:00:00 AM +0000,194102.08633082,1267241.09111846,WESTCREST PARK
POINT (-122.34321510198262 47.67204405540818),307,,,Green Lake Park Sml Craft Ctr Sh,Open Year Round,,1268444.59063968,248790.10193881,11/30/1899 12:00:00 AM +0000,248790.10193881,1268444.59063968,GREEN LAKE PARK
POINT (-122.34070483483733 47.66641461979557),292,,,City-wide Athletics Office,Open Year Round,,1269022.71844828,246724.94660871,11/30/1899 12:00:00 AM +0000,246724.94660871,1269022.71844828,WOODLAND PARK
POINT (-122.34897208038836 47.72362714347702),288,,,Bitter Lake PF CS,Open Year Round,,1267397.04087861,267630.10560611,11/30/1899 12:00:00 AM +0000,267630.10560611,1267397.04087861,BITTER LAKE PLAYFIELD
POINT (-122.28606292448346 47.562252283677026),423,,,Rainier PF CS,Open Year Round,,1281766.84946933,208477.98932153,11/30/1899 12:00:00 AM +0000,208477.98932153,1281766.84946933,RAINIER PLAYFIELD
POINT (-122.37909041975239 47.64723864158556),3887,,,Interbay PF SH,Open Year Round,,1259425.84919044,239919.22666574,11/30/1899 12:00:00 AM +0000,239919.22666574,1259425.84919044,INTERBAY ATHLETIC FIELD
POINT (-122.25632042177891 47.549987806258336),428,,,Seward Park Main Entrance CS,Open Year Round,,1289026.11507677,203867.90931682,11/30/1899 12:00:00 AM +0000,203867.90931682,1289026.11507677,SEWARD PARK
POINT (-122.3974893169596 47.633387181152536),317,,,Magnolia Park CS,Closed in Winter,,1254788.9112657,234959.36547665,11/30/1899 12:00:00 AM +0000,234959.36547665,1254788.9112657,MAGNOLIA PARK
POINT (-122.31219746627022 47.67226724737207),483,,,Cowen Park CS,Closed in Winter,,1276086.66002351,248723.11486675,11/30/1899 12:00:00 AM +0000,248723.11486675,1276086.66002351,COWEN PARK
POINT (-122.38739421213528 47.64375585568459),303,,,Bayview PG CS,Closed in Winter,,1257353.79491633,238690.30557647,11/30/1899 12:00:00 AM +0000,238690.30557647,1257353.79491633,BAYVIEW PLAYGROUND
POINT (-122.33981359115526 47.68211688682263),307,,,Green Lake Pk Bathhouse Theater,Open Year Round,,1269354.39524862,252447.20127057,11/30/1899 12:00:00 AM +0000,252447.20127057,1269354.39524862,GREEN LAKE PARK
POINT (-122.38073778263902 47.58934180357316),455,,,,Closed in Winter,,1258595.2532856,218812.89979611,11/30/1899 12:00:00 AM +0000,218812.89979611,1258595.2532856,SEACREST PARK
POINT (-122.29569338516507 47.53926260220906),431,,,Van Asselt CS,Closed in Winter,,1279230.22578673,200138.704769,11/30/1899 12:00:00 AM +0000,200138.704769,1279230.22578673,VAN ASSELT PLAYGROUND
POINT (-122.34490019894805 47.52510856401081),468,,,Westcrest Park CS N,Open Year Round,,1266976.83319817,195211.63538796,11/30/1899 12:00:00 AM +0000,195211.63538796,1266976.83319817,WESTCREST PARK
